SampleID	Oblitimonas_alkaliphila
soil.hip.CMU.17.04.2017.03.day21	0
soil.hip.CMU.17.04.2017.03.day1	0
soil.hip.SHSU.2016.076.2016.11.26.day5	0.0038
soil.hip.SHSU.2016.073.2016.11.22.day19	0.049
soil.hip.SHSU.2016.072.2016.11.20.day17	0.0014
soil.hip.SHSU.2016.076.2016.11.29.day8	0.0016
soil.hip.SHSU.2016.076.2016.12.09.day18	0.0012
soil.hip.CMU.17.04.2017.03.day12	0
soil.hip.CMU.17.04.2017.03.day7	0.0002
soil.hip.SHSU.2016.072.2016.11.04.day1	0
soil.hip.SHSU.2016.072.2016.11.23.day20	0.1068
soil.hip.SHSU.2016.073.2016.11.09.day6	0.0002
soil.hip.SHSU.2016.076.2016.11.27.day6	0.0054
soil.hip.SHSU.2016.076.2016.12.10.day19	0.0002
soil.hip.CMU.17.04.2017.03.day17	0
soil.hip.SHSU.2016.076.2016.12.04.day13	0.0132
soil.hip.CMU.17.04.2017.03.day3	0.0002
soil.hip.SHSU.2016.076.2016.12.07.day16	0.0002
soil.hip.SHSU.2016.076.2016.12.12.day21	0
soil.hip.UTK.K016.12.2017.06.03.day10	0.0014
soil.hip.UTK.K016.11.2017.06.02.day9	0.009
soil.hip.UTK.K016.11.2017.05.27.day3	0
soil.hip.UTK.K016.12.2017.06.05.day12	0.02
soil.hip.UTK.K016.10.2017.06.02.day9	0.002
soil.hip.UTK.K016.12.2017.06.07.day14	0.001
soil.hip.UTK.K016.10.2017.06.08.day15	0.007
soil.hip.UTK.K016.11.2017.06.07.day14	0.0054
soil.hip.UTK.K016.12.2017.06.14.day21	0.001
soil.hip.UTK.K016.10.2017.05.30.day6	0
soil.hip.UTK.K016.10.2017.06.13.day20	0.0094
soil.hip.UTK.K016.10.2017.05.27.day3	0.0004
soil.hip.UTK.K016.11.2017.06.08.day15	0.007
soil.hip.UTK.K016.10.2017.06.04.day11	0.02
soil.hip.UTK.K016.10.2017.06.01.day8	0.0022
soil.hip.UTK.K016.11.2017.06.10.day17	0.0248
soil.hip.UTK.K016.12.2017.06.10.day17	0.0014
soil.hip.UTK.K016.10.2017.05.31.day7	0
soil.hip.UTK.K016.12.2017.06.08.day15	0.0006
soil.hip.UTK.K016.11.2017.06.09.day16	0.0284
soil.hip.UTK.K016.12.2017.05.28.day4	0
soil.hip.UTK.K016.10.2017.06.05.day12	0.0076
soil.hip.UTK.K016.11.2017.05.29.day5	0.0004
soil.hip.UTK.K016.12.2017.06.12.day19	0.0004
