SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.face.CMU.16.15.2016.12.day15,0,soil.face,18.8,CMU,early,Mr. 16-15
soil.hip.CMU.16.12.2016.11.day.day16,0,soil.hip,27.5,CMU,early,16-12
soil.hip.CMU.16.14.2016.12.day.day9,0,soil.hip,1.4,CMU,early,16-14
soil.face.CMU.16.12.2016.10.day.day1,0,soil.face,0,CMU,placement,16-12
soil.face.CMU.17.01.2017.01.day4,0,soil.face,0,CMU,early,Mrs. 17-01
soil.face.CMU.16.14.2016.12.day.day3,0,soil.face,0,CMU,early,16-14
soil.face.CMU.16.12.2016.10.day.day9,0,soil.face,26.1,CMU,early,16-12
soil.face.CMU.16.15.2016.12.day1,0,soil.face,0,CMU,placement,Mr. 16-15
soil.hip.UTK.K016.09.2017.Jan.19.day13,0,soil.hip,133.9,UTK,active,K016.09
soil.face.CMU.16.15.2016.12.day14,0,soil.face,18.8,CMU,early,Mr. 16-15
soil.hip.CMU.16.12.2016.10.day.day9,0,soil.hip,26.1,CMU,early,16-12
soil.face.CMU.16.12.2016.10.day.day5,0,soil.face,16.9,CMU,early,16-12
soil.face.CMU.16.14.2016.11.day.day1,0,soil.face,0,CMU,placement,16-14
soil.hip.CMU.16.15.2016.12.day12,0,soil.hip,12.7,CMU,early,Mr. 16-15
soil.face.CMU.16.14.2016.12.day.day4,0,soil.face,0,CMU,early,16-14
soil.hip.CMU.17.01.2017.01.day12,0,soil.hip,20.3,CMU,early,Mrs. 17-01
soil.hip.CMU.16.14.2016.12.day.day8,0,soil.hip,1.4,CMU,early,16-14
soil.hip.CMU.16.14.2016.12.day.day4,0,soil.hip,0,CMU,early,16-14
soil.face.CMU.17.01.2017.01.day10,0,soil.face,12.25,CMU,early,Mrs. 17-01
soil.face.CMU.16.15.2016.12.day19,0,soil.face,19.35,CMU,early,Mr. 16-15
soil.face.CMU.17.04.2017.03.day10,0,soil.face,127.45,CMU,active,Mr 17-04
soil.face.CMU.17.04.2017.03.day18,0,soil.face,235.2,CMU,advanced,Mr 17-04
soil.face.CMU.17.04.2017.03.day12,0,soil.face,162.45,CMU,active,Mr 17-04
soil.face.SHSU.2016.076.2016.12.06.day15,0,soil.face,190.5,SHSU,active,2016.076
soil.hip.SHSU.2016.076.2016.12.11.day20,0,soil.hip,236.4,SHSU,advanced,2016.076
soil.hip.CMU.17.04.2017.03.day5,0,soil.hip,46.95,CMU,early,Mr 17-04
soil.face.SHSU.2016.073.2016.11.20.day17,0,soil.face,289.9,SHSU,advanced,2016.073
soil.face.SHSU.2016.073.2016.11.13.day10,0,soil.face,170.4,SHSU,active,2016.073
soil.face.SHSU.2016.076.2016.12.12.day21,0,soil.face,254.5,SHSU,advanced,2016.076
soil.face.CMU.17.04.2017.03.day17,0,soil.face,224.05,CMU,advanced,Mr 17-04
soil.face.CMU.17.04.2017.03.day21,0,soil.face,267.15,CMU,advanced,Mr 17-04
soil.hip.SHSU.2016.076.2016.11.25.day4,0.003030126,soil.hip,47.5,SHSU,early,2016.076
soil.hip.SHSU.2016.073.2016.11.07.day4,0,soil.hip,62.55,SHSU,active,2016.073
soil.hip.SHSU.2016.072.2016.11.21.day18,0,soil.hip,305.2,SHSU,advanced,2016.072
soil.hip.SHSU.2016.073.2016.11.13.day10,0,soil.hip,170.4,SHSU,active,2016.073
soil.hip.SHSU.2016.073.2016.11.15.day12,0,soil.hip,209.6,SHSU,advanced,2016.073
soil.hip.SHSU.2016.076.2016.12.01.day10,0.00130365,soil.hip,137.75,SHSU,active,2016.076
soil.hip.SHSU.2016.076.2016.11.23.day2,0.028197495,soil.hip,15.55,SHSU,early,2016.076
soil.face.SHSU.2016.072.2016.11.11.day8,0,soil.face,135.35,SHSU,active,2016.072
soil.face.SHSU.2016.072.2016.11.05.day2,0,soil.face,19.45,SHSU,early,2016.072
soil.hip.SHSU.2016.072.2016.11.06.day3,0,soil.hip,40.6,SHSU,early,2016.072
soil.hip.CMU.17.04.2017.03.day16,0,soil.hip,213.25,CMU,advanced,Mr 17-04
soil.hip.SHSU.2016.076.2016.11.22.day1,0,soil.hip,0,SHSU,placement,2016.076
soil.hip.SHSU.2016.076.2016.11.30.day9,0.000230947,soil.hip,127.45,SHSU,active,2016.076
soil.face.SHSU.2016.073.2016.11.10.day7,0,soil.face,117.55,SHSU,active,2016.073
soil.face.SHSU.2016.076.2016.11.26.day5,0,soil.face,63.6,SHSU,active,2016.076
soil.face.CMU.17.04.2017.03.day15,0,soil.face,202.45,CMU,advanced,Mr 17-04
