OTU ID	43654_S1316_L003	43849_S2090_L003	44048_S1317_L003	54815_S2153_L003	55009_S2121_L003	55209_S2162_L003	60699_S2212_L003	60878_S1804_L003	60898_S1837_L003	61057_S2062_L003	61076_S1820_L003	61114_S1810_L003	63650_S1634_L003	63670_S1670_L003	64945_S2242_L003	64947_S2196_L003	64964_S1632_L003	65127_S2213_L003	65144_S1636_L003	65147_S2269_L003	65161_S2114_L003	65180_S1705_L003
SHSU.bins.201	6.46015092759663e-05	0.00016155138556619145	0.00014336114729645506	0.0012091296119576872	0.00013759968106949176	9.441968332354452e-05	4.227140661222972e-05	5.816969922697172e-05	0.0002819116221905462	0.000505975256956558	0.0003680345245000583	0.0001664017051998283	2.017732665664451e-05	1.8881516159567586e-05	6.519945323848817e-05	0.00023990227469818811	3.6571187161319035e-05	3.383540966800974e-05	5.132735677903424e-05	6.1019318719550006e-05	5.388838299522384e-05	0.00014044040431675326
UTK.bins.51	0.00017084174097620287	3.133023320080031e-05	0.00028434411513542047	0.000245683102429683	4.276475222447778e-05	5.086434125803077e-05	2.2771787252402227e-05	0.00014101314388436577	0.00011885250427567588	0.0001591522238790617	0.00015744335048100384	0.0001403081381120118	2.4456630644247958e-05	2.2885997345070532e-05	0.0	0.0002492417913773455	0.0	4.762610649478761e-05	0.0	0.00016024788350639042	0.0	0.0002723612165517356
CMU_early.final.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.183243734723209e-05	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.19	0.0	5.413262816352034e-06	0.0	4.569201545187119e-06	0.0	0.0	0.0	0.0	0.0	0.0014587221605864961	0.00024596208637369613	0.004297753167402132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.382	0.0	0.0	0.0	1.1520179113928812e-05	0.0	0.0	0.0	0.0	0.0	9.264052479532755e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.549	0.0	0.0	0.0	4.0104730396615735e-06	0.0	0.0	0.0	0.0	0.0	6.450110341372415e-06	1.54203800265347e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.48	0.0	4.535074294813787e-06	7.088497382971978e-05	0.0	9.594858377273542e-06	0.0	0.0	0.0	0.0001666635235593101	0.00012313093979107295	0.0	0.0010231020279060222	8.230767399545885e-05	0.00010269574911205433	3.546171720035983e-05	0.0	0.0	0.0	0.0	6.914192888352547e-06	0.0	0.0
SHSU_active.final.52	0.0	0.0	0.0	0.0	0.0	0.0	1.8899949379514663e-05	0.0	0.0004438989762111417	9.109786504851735e-06	0.0	2.911296090797686e-05	0.0	5.6984241409610444e-05	0.0	0.0	0.0	0.0	0.00013769357696439153	0.0	0.0	0.0
SHSU_advanced.final.156	0.0	0.0	0.0	0.0	0.0	0.0001513526454020098	0.0	0.0	0.0	0.00022862252247721418	7.808160919789272e-05	0.0004435965604944886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.176	0.0	3.4068459956153447e-06	0.0005990661633410268	0.0	7.2078645321944565e-06	0.0	0.0	0.0	0.0	3.0062052066050674e-05	0.0002432519061932794	4.434093904436475e-05	0.0	0.0	2.6639610409066334e-05	0.0	7.471238377147056e-05	0.0	0.0	0.0	7.179795063758559e-06	0.0
