OTU ID	25655_S2125_L003	25669_S2120_L003	25688_S1294_L003	45131_S2199_L003	45147_S2288_L003	45469_S2277_L003	45504_S1450_L003	45632_S1567_L003	45648_S1582_L003	45651_S2067_L003	45668_S1524_L003	45670_S1520_L003	45704_S1583_L003	45903_S2034_L003	45937_S2244_L003	45956_S1458_L003	45959_S2286_L003	60588_S1717_L003	60590_S1714_L003	60608_S1735_L003	60624_S1716_L003	60626_S1736_L003	60644_S1715_L003	60646_S1719_L003	60660_S1720_L003	60662_S1734_L003	60680_S1730_L003	64298_S1858_L003	64316_S1867_L003	64319_S2161_L003	64332_S1861_L003	64334_S1862_L003	64352_S1856_L003	64354_S1870_L003
SHSU.bins.329	6.270570446771247e-05	0.0004570093981622194	0.0007063552130209325	0.0	0.0	0.0	0.0	0.004508534278902899	0.0006457017011317665	0.00032712189101225957	0.00013496556938969354	0.0	0.00021768430987316993	0.0	9.13033576425014e-05	0.0	0.0	0.0006197188642306091	0.000453667032322266	0.00011290667197259696	8.277765596445632e-05	0.00011105878624642488	3.7879847693708205e-05	0.00026153376082238317	0.0	6.766573559582695e-05	0.0015624395441352864	0.0	0.0	0.0	6.44880482728166e-05	9.917824170593531e-05	4.033150496751048e-05	0.0
SHSU.bins.149	4.8775581475206526e-05	6.46335255973754e-05	0.0008880217675199552	0.0	0.0	0.0	0.0	0.0	0.0	6.052363428840284e-07	6.298968304934982e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096658853524781e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU_advanced.final.181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85305527817917e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.195	2.3156745649892654e-05	0.00020063578529128467	0.0004842380986135896	0.0	0.0	0.0	0.0	0.0075940642907143955	0.00013518880023695486	8.454496076867593e-05	0.0	2.2043687863213162e-05	0.0	0.0	0.0	0.0	0.0	2.0312803744188014e-05	1.4870047470598695e-05	5.7732454189909785e-05	0.0	4.732293974789687e-05	0.0	0.0	0.0	5.2860203810772863e-05	0.004690281132299935	3.480241705492776e-05	0.0	1.508904632251931e-05	0.0	8.452089588745622e-05	0.0	6.014717827016169e-05
SHSU.bins.353	0.0	0.0	6.483860588214518e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2753240828914424e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK_active.final.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041164952155193476	3.0964005054272783e-06	0.0	0.0	3.58474965347709e-06	0.0	0.0	0.0	0.0	0.0	0.00019819630653283146	9.672679104192517e-05	0.0	0.0	0.0	0.0	0.0	0.00020603643554376752	1.562934243924154e-06	0.000613107778078454	0.0	0.0	3.926053083917029e-06	0.0	0.0	0.0	0.0
SHSU.bins.191	0.0	0.0	2.0769101087368467e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.234	0.0	0.0	0.0	0.0001559192392406733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.905626768731967e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU_advanced.final.227	8.868989631905753e-06	0.0	5.52983185452623e-06	0.0002642177387132596	0.0	0.0	0.0	0.0	4.7401520083083966e-06	8.253872539448834e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6422058062536538e-05	0.0	1.34585613504744e-05	3.724530266830165e-05	0.0	0.0	0.0	6.840810816782562e-05	0.0	0.0	0.0
CMU_early.final.5	0.0006254800445647652	0.0008510371103589753	2.785628982336755e-05	0.01677596291830106	0.006704808048274612	0.007675491721694345	0.01270351667760482	0.01987601414358028	0.001983391403476429	0.010222042906536836	0.0745101307044234	0.2163854975545392	0.008302577232353673	0.013906573421622832	0.046334759728798774	0.030509182070516765	0.006586627807171222	0.004760386877465451	0.00402098654562005	0.004457150709493707	0.007276435887194429	0.013099434108502799	0.03658694777242564	0.0009150629329007228	0.010480216721379481	0.0011478402181689536	0.0015947836429788297	0.02572302343208993	0.06822781421286997	0.0060647218296297906	0.011802649683889633	0.02070215409398597	0.0007004345862704267	0.008768590123674456
SHSU_advanced.final.252	0.0	0.0	5.693447394603676e-06	0.0	0.0	0.0	0.0	0.00046344505671423177	6.100501310692776e-05	1.982886469832736e-05	0.0	0.00011300212005647339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017256283383005038	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.106	0.011676748831955509	0.010177371732123335	0.0009458497816848636	0.024228265882008344	0.03462842541404004	0.04194656847905937	0.02725848687099252	0.014556976640378383	0.0005449620409551932	0.004512742841682092	0.024441066511301374	0.023302846198125983	0.0435308559751893	0.013629131333409567	0.011887977391015754	0.03995279533047798	0.033149667016367526	0.0435485120271448	0.05077745794798559	0.030297166822733312	0.021881196646516665	0.02291158006809798	0.05158073685953779	0.018173598667375442	0.03456642918627286	0.0016999211864208877	0.01675212640103107	0.02052350436609784	0.016336147205886293	0.0039619492846842885	0.0036211518030146907	0.020431562171181784	0.0001132353339468564	0.015976229759381254
SHSU.bins.358	1.5079681074410688e-05	2.8546284638882957e-05	2.6863464580176096e-06	0.0	2.9727997647874333e-06	0.0	0.0	0.00016400096468230992	0.0	1.0024156869628654e-06	0.0	0.0	0.0	4.379080392337369e-05	0.0	4.4691343962692295e-05	2.431339281167551e-05	7.369720358434759e-05	1.7983409731643095e-05	0.0	3.412570009116958e-05	9.538500530443104e-06	1.952028881151893e-05	0.0	0.0	2.6152232022028397e-05	0.001483663646951903	4.208900434461603e-05	0.0	1.4598607312036472e-05	0.0	0.0	0.0	0.00010911052420891117
SHSU.bins.89	0.00018716126333503412	0.0015246596602521598	0.002165563230452331	0.0	0.0	0.0	0.0	0.00389302473639149	0.0015529381027219434	0.0007971380886760664	0.0	0.0	0.0	0.00018710955949185866	0.0	4.243499566165166e-05	6.92576637664709e-05	0.01780900328267124	0.010860009422380022	0.0172532607463913	0.01069291489517636	0.0063172063644493705	0.003697685574868633	0.0026325188069639773	0.0007794048561717642	0.020262817494239006	0.0017265872382662183	5.994606470252173e-05	4.5796610183962067e-05	0.00011435789744433144	0.0011359544695757314	0.0	0.0	0.0
CMU.bins.235	0.0008833923929407363	0.0005749910218717607	1.2687739107847737e-05	0.005895840271287258	0.012217864910222859	0.00015061335453891037	0.0006342871341126656	0.0029920219205451528	0.00011675584020464615	0.000931481433732754	0.004386319030156137	0.0006758497297635249	0.012223240869853817	0.006070953630271849	0.018888874443475843	0.0010471183397059004	0.0007903233288670277	0.022522529151498966	0.0008093947678903947	0.005605970592364004	0.009310351796621114	0.0007976642934814438	0.002489272348442147	0.01618998181282911	0.0014899460338867728	0.000247439926131677	0.08067069711563535	0.004934630164519899	0.029212079944536364	0.003565116576202228	0.002585170130761388	0.011004471860589246	9.238808137916283e-05	0.0035163968465304076
CMU.bins.181	0.0006079891833185605	0.00020854924352788765	2.7544609747021854e-06	0.0015025382926826384	0.0053937493432949105	0.00013896471496127838	0.0009753848449041875	0.0030548923146730585	1.9184036033625202e-05	0.0001012414188827709	0.007434495668069385	0.0007670865640308349	0.0036663182610166133	0.0017511428567793736	0.001471427700848882	0.0006377240850847649	0.0001246493987809433	0.003923125223135941	0.0005854505610434849	0.0025712848092996872	0.001810781774216515	0.0007555325043895368	0.0006605030097856708	0.006231769043039956	0.0009188128125595184	6.480367279724044e-05	0.001498091946436022	0.0036574906395634398	0.005036129080033545	0.003439074073508145	0.0018570697502621007	0.001965169939366494	4.262140024955001e-05	0.005342127647643235
