CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3389	6124	14	0.963	-84.093
51	57	14	0.9615	-88.052
2634	6153	14	0.9706	-132.080
2634	6110	14	0.979	-0.001
2641	2869	14	0.9824	-88.052
2487	2648	14	0.9689	-264.156
2521	3404	14	0.9589	28.030
6114	6124	14	0.9861	-44.027
2480	2539	14	0.9947	-44.026
2539	2548	14	0.9559	56.061
2487	2583	14	0.9942	44.026
2490	3400	14	0.9664	56.061
2546	2548	14	0.9707	-176.104
2515	2609	14	0.9818	88.052
2641	6110	14	0.9742	-44.026
2533	2637	14	0.9742	-176.104
2515	2533	14	0.989	44.026
2515	3388	14	0.9753	-176.104
2438	2487	14	0.995	44.026
2573	6111	14	0.9879	-44.026
2490	2546	14	0.9647	88.052
2583	2648	14	0.9647	-308.182
52	2587	14	0.9427	116.084
2637	3388	14	0.9849	-44.026
2583	6135	14	0.9764	-352.209
2438	2539	14	0.982	-88.051
2438	2583	14	0.9934	88.052
2487	3386	14	0.9731	88.051
2467	2521	14	0.9791	28.031
2533	3394	14	0.9498	88.052
2587	2869	14	0.9655	-176.104
2869	6111	14	0.9446	88.052
2438	2611	14	0.9787	-176.104
52	57	14	0.969	-44.025
6111	6153	14	0.9922	-176.105
2641	6114	14	0.9594	-88.051
3554	10163	15	0.7085	-60.000
10163	10281	15	0.7393	-59.998
469	4087	16	0.722	-3.168
4446	12880	17	0.8347	14.019
4446	4552	17	0.824	14.021
4552	12880	17	0.9025	-0.002
4446	12503	17	0.912	-14.018
482	10375	18	0.9414	-0.000
1593	5973	19	0.8918	22.013
1846	10674	19	0.8508	-176.100
878	1339	19	0.9147	-132.075
912	1068	19	0.896	-66.040
5902	5904	19	0.778	-22.013
5902	6780	19	0.8507	-85.580
1846	6762	19	0.8784	-154.088
1055	1316	19	0.877	-198.111
5978	7585	19	0.8751	2.475
6780	7588	19	0.9266	-66.035
5973	6659	19	0.8633	-198.119
936	1316	19	0.9377	-22.011
1316	1339	19	0.9673	-66.040
5456	10674	19	0.8807	-286.166
1599	6642	19	0.9256	-88.053
1068	1331	19	0.9682	-22.010
5456	6762	19	0.9132	-264.154
1599	6605	19	0.9109	-110.066
1846	4245	19	0.859	22.012
878	6324	19	0.9117	-154.086
1533	1616	19	0.8688	-44.026
5902	7585	19	0.8751	-173.628
1533	6605	19	0.9067	-132.078
912	1331	19	0.905	-88.050
4245	5922	19	0.8618	-110.063
1533	1599	19	0.934	-22.013
5978	7588	19	0.8495	24.489
1739	5922	19	0.9231	-44.025
1068	1092	19	0.8591	242.134
6642	6659	19	0.9527	-44.028
6787	7585	19	0.9051	-66.033
1092	1316	19	0.8733	-220.119
878	1092	19	0.9024	154.084
1593	6659	19	0.8703	-176.107
5922	10674	19	0.9526	-88.049
1616	7583	19	0.8488	2.475
6485	6762	19	0.9846	-22.014
936	1339	19	0.9024	-88.051
831	1633	19	0.829	2.490
1593	6642	19	0.8742	-132.078
5922	6762	19	0.983	-66.037
912	1055	19	0.9036	154.086
1739	7580	19	0.9575	-22.010
791	1055	19	0.8478	22.011
1616	5978	19	0.8741	-44.026
5978	6605	19	0.9534	-44.026
5978	6659	19	0.9408	-66.042
1092	1331	19	0.8507	-264.144
6605	6659	19	0.9684	-22.016
1739	10674	19	0.8704	-132.073
1846	5922	19	0.8582	-88.051
6780	7585	19	0.9443	-88.048
1846	5456	19	0.9318	110.066
6780	7587	19	0.8075	44.030
1564	5456	19	0.9185	66.043
6787	7588	19	0.9393	-44.019
936	1739	19	0.938	-0.502
1599	5978	19	0.8906	-66.039
5902	5973	19	0.9022	-44.026
878	1316	19	0.9461	-66.035
1697	5922	19	0.9517	22.012
1055	1331	19	0.8655	-242.136
1599	6787	19	0.8436	2.469
936	1068	19	0.9081	-44.026
1633	9081	19	0.7435	-0.503
1697	6485	19	0.9086	-22.011
1564	10674	19	0.7843	-220.123
1316	1331	19	0.9785	-44.025
1633	7583	19	0.7575	24.488
1697	7580	19	0.934	44.026
1599	8952	19	0.8281	-0.488
1533	5978	19	0.8729	-88.052
4245	9081	19	0.848	2.490
6762	7580	19	0.9857	88.051
878	1331	19	0.9328	-110.060
1068	5922	19	0.9623	-0.500
1593	6605	19	0.9025	-154.091
1331	6324	19	0.9159	-44.025
1697	5456	19	0.8784	220.129
1616	6605	19	0.8952	-88.053
1331	1339	19	0.9791	-22.015
6659	7585	19	0.846	68.517
1697	10674	19	0.9985	-66.037
1846	7580	19	0.8863	-66.037
1564	1739	19	0.9258	-88.050
912	6642	19	0.8821	2.488
936	1055	19	0.8992	176.100
1564	7580	19	0.8763	-110.060
6485	7580	19	0.9954	66.037
1533	5973	19	0.8328	44.025
1593	5978	19	0.9235	-110.065
878	936	19	0.9378	-44.024
1316	6324	19	0.9129	-88.050
6605	7588	19	0.8376	68.515
6659	7588	19	0.846	90.531
912	1092	19	0.881	176.093
1593	6787	19	0.8876	-41.557
6605	6642	19	0.9592	22.013
1068	1316	19	0.9606	22.015
1739	1846	19	0.9377	44.026
8952	9081	19	0.9299	-44.041
5922	7580	19	0.9737	22.014
878	912	19	0.9431	-22.010
5973	5978	19	0.8848	-132.077
1739	5456	19	0.9457	154.093
5456	6485	19	0.9198	-242.141
6780	6787	19	0.9448	-22.015
1339	6324	19	0.8995	-22.010
1055	6324	19	0.8891	-286.161
1564	4245	19	0.8775	-22.012
5973	6642	19	0.8812	-154.091
5973	6780	19	0.8411	-41.554
1616	6659	19	0.8762	-110.068
878	1055	19	0.9077	132.076
1331	1697	19	0.945	-0.503
1564	6485	19	0.8815	-176.098
7583	9081	19	0.7184	-24.991
1846	6485	19	0.8795	-132.074
1055	6005	19	0.8888	-22.047
1055	1092	19	0.902	22.008
1599	1616	19	0.8732	-22.013
5973	7585	19	0.8708	-129.602
1564	1846	19	0.899	-44.023
1339	6485	19	0.9515	-0.499
6762	10674	19	0.9303	-22.012
1593	6780	19	0.8748	-19.541
1739	4245	19	0.8835	66.038
1739	6762	19	0.9459	-110.062
878	1846	19	0.9051	-0.500
912	1339	19	0.8813	-110.065
345	4245	19	0.8387	1.349
1068	6324	19	0.9182	-66.035
6642	7588	19	0.8675	46.502
1533	1593	19	0.8684	22.013
878	1068	19	0.9209	-88.050
5456	7580	19	0.93	-176.103
5922	6485	19	0.9606	-44.023
1092	6324	19	0.891	-308.169
6605	7585	19	0.829	46.502
1697	6762	19	0.9301	-44.025
1533	6642	19	0.9118	-110.066
936	6324	19	0.9113	-110.061
1055	1068	19	0.8681	-220.126
345	831	19	0.7684	1.852
1739	6485	19	0.9609	-88.048
5978	6642	19	0.9351	-22.014
1533	6659	19	0.8703	-154.094
1599	6659	19	0.884	-132.081
1316	7580	19	0.9598	-0.501
4245	6762	19	0.87	-176.100
936	1092	19	0.8803	198.108
5456	5922	19	0.9072	-198.117
1068	1339	19	0.9671	-44.025
912	6324	19	0.892	-132.076
1092	6005	19	0.8516	-44.055
791	6005	19	0.9674	-0.036
7580	10674	19	0.9355	-110.063
1599	5973	19	0.8507	66.038
1533	6787	19	0.8229	-19.544
4245	5456	19	0.8865	88.055
912	936	19	0.941	-22.015
1616	6642	19	0.8857	-66.040
1593	7585	19	0.8752	-107.589
1593	1599	19	0.8583	-44.025
1533	7588	19	0.8323	-63.563
6485	10674	19	0.9098	-44.026
936	1331	19	0.9278	-66.036
345	1633	19	0.8044	4.342
5973	6605	19	0.8721	-176.103
345	9081	19	0.7425	3.840
1564	6762	19	0.8622	-198.111
912	1316	19	0.9134	-44.026
7585	7588	19	0.8936	22.013
2630	4085	20	0.9822	-26.019
2456	2458	20	0.9879	44.028
2653	3432	20	0.9623	-28.031
2468	2530	20	0.9667	-132.079
2526	3434	20	0.9439	-308.186
2588	2746	20	0.996	-44.026
2577	2598	20	0.9813	44.027
2598	2741	20	0.9783	-88.053
2498	2600	20	0.9686	88.053
2530	2577	20	0.9445	56.062
2468	2608	20	0.966	-176.105
2468	2630	20	0.9816	-28.031
2468	2526	20	0.985	44.028
2588	4142	20	0.9834	-28.041
2621	2780	20	0.9553	-112.115
4063	4085	20	0.9831	132.076
2577	2741	20	0.9965	-44.027
2608	2780	20	0.9744	-28.031
2458	2567	20	0.9907	-28.032
2748	3432	20	0.943	-264.188
2505	4064	20	0.9712	-138.140
2468	2653	20	0.9694	-220.132
2498	2623	20	0.957	-176.105
3434	4164	20	0.9949	84.094
2788	4513	20	0.9725	-44.026
2354	2385	20	0.9477	44.026
2780	3432	20	0.9667	-44.027
2534	4063	20	0.9492	-138.140
2356	2565	20	0.9865	28.026
2740	4142	20	0.9841	-44.036
2362	2781	20	0.9852	-176.106
2608	3434	20	0.944	-88.053
2355	4142	20	0.9457	-84.105
2565	2598	20	0.9917	-44.027
2653	3434	20	0.9527	-44.026
2437	2517	20	0.9625	132.080
4064	4085	20	0.9667	44.023
2468	4085	20	0.9815	-54.050
2458	2505	20	0.9757	84.093
2456	2537	20	0.9708	84.100
2505	2621	20	0.9802	-132.088
2456	2598	20	0.9685	56.063
2437	2489	20	0.9763	-44.026
2598	4142	20	0.9735	-112.135
2446	2489	20	0.9842	-88.052
2742	4513	20	0.9684	-88.052
2456	2608	20	0.9898	-88.052
2362	4507	20	0.9591	-220.132
2456	2588	20	0.9825	-28.031
2385	2781	20	0.9546	-352.210
2746	2748	20	0.9549	176.135
2529	4164	20	0.9579	-264.157
2630	2780	20	0.9618	-176.105
2530	2608	20	0.9904	-44.026
2565	4064	20	0.9818	-110.110
2505	2565	20	0.9934	-28.030
2458	2468	20	0.9903	44.026
2489	2788	20	0.9696	-132.079
2526	2748	20	0.98	-28.003
2355	2456	20	0.9784	-28.033
2567	2780	20	0.9841	-132.078
2567	2748	20	0.9722	88.083
2356	4064	20	0.9962	-82.083
2530	2534	20	0.9792	84.094
2537	2947	20	0.9535	-138.146
2740	2777	20	0.9796	44.026
2630	3432	20	0.9597	-220.132
2577	4063	20	0.9921	-110.109
2534	2537	20	0.9833	44.032
2529	2621	20	0.9801	-176.114
2608	2741	20	0.9463	56.062
2777	4142	20	0.9632	-88.062
2354	2355	20	0.9786	-88.052
2355	2463	20	0.9639	-132.079
2505	2740	20	0.9737	-140.156
2567	2746	20	0.9905	-88.052
2565	2740	20	0.9847	-112.126
2537	2598	20	0.9953	-28.037
2489	2623	20	0.9769	-44.026
2456	2468	20	0.9748	88.053
2432	2463	20	0.9767	-44.026
2947	4063	20	0.9859	-44.027
2530	3434	20	0.9449	-132.079
2746	4063	20	0.9627	-26.016
2630	2777	20	0.9878	-28.032
2458	4064	20	0.9686	-54.047
2385	2748	20	0.9842	-56.032
2356	2437	20	0.9574	-226.198
2505	2534	20	0.9684	-88.052
2432	2608	20	0.9552	-28.032
2534	2621	20	0.9736	-44.035
2385	2498	20	0.9428	-226.193
2354	2532	20	0.9481	-264.158
2468	2529	20	0.9835	84.093
2400	2517	20	0.9629	-226.186
2530	4063	20	0.9485	-54.047
2362	2385	20	0.9517	176.103
2458	2608	20	0.9797	-132.080
2463	2653	20	0.9436	-28.032
2489	2498	20	0.9773	132.079
2742	2788	20	0.9878	-44.026
4063	4064	20	0.9968	88.053
2498	4513	20	0.9534	-308.183
