Metabolite ID,Log-fold Change,,,,P-value,,,,Q-value,,,,Standard Error,,,,W-value,,,
,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion
3227,0.005146999,0.00180439,0.001282036,-0.001472239,,,,,,,,,,,,,,,,
4636,-4.40E-06,-1.89E-06,-1.14E-05,-8.94E-06,,,,,,,,,,,,,,,,
3409,8.69E-07,-1.93E-07,-1.41E-05,-2.31E-05,,,,,,,,,,,,,,,,
6362,0.001124932,-4.14E-04,-6.75E-04,-9.12E-04,,,,,,,,,,,,,,,,
2362,3.51E-04,-1.93E-04,-7.94E-05,-8.60E-05,,,,,,,,,,,,,,,,
2854,-4.40E-06,-1.89E-06,-1.90E-06,1.23E-05,,,,,,,,,,,,,,,,
3898,-3.29E-07,-4.22E-06,-1.30E-05,-2.38E-05,,,,,,,,,,,,,,,,
4284,-4.40E-06,-1.89E-06,-1.19E-05,7.13E-06,,,,,,,,,,,,,,,,
2058,8.50E-05,2.85E-05,1.81E-04,4.41E-04,,,,,,,,,,,,,,,,
3070,-4.40E-06,-1.89E-06,1.46E-05,2.75E-04,,,,,,,,,,,,,,,,
2705,-4.40E-06,-1.89E-06,-9.62E-06,-1.31E-05,,,,,,,,,,,,,,,,
4380,-4.40E-06,-1.89E-06,-9.09E-06,1.23E-05,,,,,,,,,,,,,,,,
696,1.07E-04,-7.88E-06,1.72E-05,-4.97E-07,,,,,,,,,,,,,,,,
1184,5.35E-06,6.10E-06,-6.34E-06,-1.16E-05,,,,,,,,,,,,,,,,
2325,-4.40E-06,-1.89E-06,-1.06E-05,-2.16E-05,,,,,,,,,,,,,,,,
3828,-8.73E-07,-2.40E-06,6.94E-05,1.78E-04,,,,,,,,,,,,,,,,
2902,-4.40E-06,-1.89E-06,3.02E-05,3.41E-04,,,,,,,,,,,,,,,,
4451,3.27E-06,-4.85E-06,-1.56E-05,-2.53E-05,,,,,,,,,,,,,,,,
2928,-4.40E-06,-1.89E-06,3.51E-05,3.17E-04,,,,,,,,,,,,,,,,
3714,-4.40E-06,-1.89E-06,-1.02E-05,-3.63E-06,,,,,,,,,,,,,,,,
1551,6.28E-05,6.27E-06,1.21E-05,-6.86E-05,,,,,,,,,,,,,,,,
2448,6.65E-05,-3.29E-05,-3.22E-05,-3.75E-05,,,,,,,,,,,,,,,,
3538,-4.40E-06,-1.89E-06,2.26E-05,1.05E-04,,,,,,,,,,,,,,,,
4122,-4.40E-06,-1.89E-06,5.34E-05,1.35E-04,,,,,,,,,,,,,,,,
2064,4.18E-05,1.13E-05,0.001105827,0.003534824,,,,,,,,,,,,,,,,
2929,-4.40E-06,-1.89E-06,-9.38E-06,4.87E-06,,,,,,,,,,,,,,,,
656,2.36E-04,3.44E-05,1.34E-04,3.56E-04,,,,,,,,,,,,,,,,
2404,8.35E-05,-2.51E-05,-1.43E-05,-2.32E-05,,,,,,,,,,,,,,,,
476,2.41E-04,-1.33E-04,1.37E-05,1.79E-04,,,,,,,,,,,,,,,,
478,0.002826856,6.15E-04,1.53E-04,-5.38E-04,,,,,,,,,,,,,,,,
2407,-4.40E-06,1.30E-05,-2.17E-06,-1.59E-05,,,,,,,,,,,,,,,,
