id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
756,5.678810644729485e-5,6.29221740556622e-5,6.380919670800316e-5,6.030642184795256e-5
930,1.199193520313978e-5,1.3993889980246886e-5,1.9301359164225454e-5,1.3539920939060734e-5
3326,1.1613085404168498e-5,1.9577438833885712e-5,1.920155678059308e-5,1.2509809788869561e-5
501,7.474923839041248e-5,8.100342850871572e-5,7.959827095095676e-5,8.042839815352917e-5
3508,1.1613085404162504e-5,1.3759616094687045e-5,1.0297330181602937e-4,1.2509809788864025e-5
3546,1.1613085404167976e-5,1.3038716414678274e-5,1.9517876412440125e-5,1.250980978886912e-5
2750,4.992732004232253e-5,2.4006272443503717e-4,3.796960128803993e-4,5.737235657741074e-5
512,4.829687201067416e-5,5.2070960398788005e-5,6.207731993472004e-5,5.0751742727616364e-5
2538,4.5398529530017614e-5,4.7676155239661236e-5,4.7942999769609395e-5,4.842063342885145e-5
4840,1.1613085404167991e-5,1.3400393475437578e-5,1.5184070707637969e-5,1.2509809788869134e-5
1505,1.1738677431279985e-5,1.3758951328313346e-5,1.527329388247794e-5,1.2706364514844283e-5
1265,7.211797087642725e-5,7.949244677448383e-5,1.783375473085787e-4,7.756460993012563e-5
2999,1.1613085404167706e-5,1.3419961642848463e-5,2.32658727740661e-5,1.250980978886887e-5
467,4.680197566890032e-5,6.0593300225600654e-5,6.358871985901178e-5,5.2738968412724966e-5
1807,1.1613085404167842e-5,1.3162211872138834e-5,1.4491327749128788e-5,1.2516054088138272e-5
2383,6.39097974586898e-5,6.993957028998755e-5,6.893510797933639e-5,7.00602908177914e-5
2242,1.937209750003312e-5,5.060846292318166e-5,1.4924655128303258e-4,2.0307099909114626e-5
535,2.936381683103995e-4,3.1095203206922843e-4,3.125433263530249e-4,3.278693993241434e-4
10032,3.816528212542771e-4,4.3046119936491833e-4,4.094396107212259e-4,4.179683497080124e-4
5525,1.1613085404168055e-5,1.3281619250448571e-5,1.5493512958718334e-5,1.2509809788869165e-5
652,1.9547737606691198e-5,2.1224719521367396e-5,2.2135448439398155e-5,2.1162262834876942e-5
7397,1.3211498079819208e-5,1.4973325150819842e-5,1.7291032907432016e-5,1.4900396034990078e-5
2186,1.1613085404168177e-5,1.4792697353452734e-5,2.380449840925197e-5,1.2509809788869175e-5
1854,1.8739706835831952e-5,2.51481189668899e-5,3.315063672893254e-5,2.6107220208250654e-5
1008,6.62604447137731e-5,7.036470394132998e-5,7.352325389806927e-5,6.92568116032399e-5
3319,1.1613085404169033e-5,1.4111906371361752e-5,2.002787921582149e-5,1.2523310645469379e-5
457,2.310238793735251e-4,2.4130076767102615e-4,2.3987764147486527e-4,2.5103503818209245e-4
2849,1.1613085404166329e-5,2.202332480522636e-5,7.480798691695489e-5,1.2509809788865609e-5
