SampleID	add_0c	add_0c_group	facility
55011_S2238_L003_R1_001.trimmed.fastq.gz	82.22222222	active	SHSU
55009_S2121_L003_R1_001.trimmed.fastq.gz	27.5	early	SHSU
54995_S2190_L003_R1_001.trimmed.fastq.gz	0	day0	SHSU
54975_S2147_L003_R1_001.trimmed.fastq.gz	558.6111111	advanced	SHSU
54973_S2092_L003_R1_001.trimmed.fastq.gz	503.3333333	advanced	SHSU
54959_S2281_L003_R1_001.trimmed.fastq.gz	476.1111111	advanced	SHSU
54939_S2245_L003_R1_001.trimmed.fastq.gz	449.4444444	advanced	SHSU
54923_S2055_L006_R1_001.trimmed.fastq.gz	364.1666667	advanced	SHSU
54900_S1470_L003_R1_001.trimmed.fastq.gz	278.0555556	advanced	SHSU
54887_S2265_L003_R1_001.trimmed.fastq.gz	250.2777778	advanced	SHSU
54865_S2166_L003_R1_001.trimmed.fastq.gz	166.3888889	active	SHSU
54851_S2200_L003_R1_001.trimmed.fastq.gz	137.5	active	SHSU
54849_S2279_L003_R1_001.trimmed.fastq.gz	82.22222222	active	SHSU
54831_S2150_L003_R1_001.trimmed.fastq.gz	109.4444444	active	SHSU
54828_S1578_L003_R1_001.trimmed.fastq.gz	55.27777778	active	SHSU
54816_S1751_L003_R1_001.trimmed.fastq.gz	441.3	advanced	UTK
54815_S2153_L003_R1_001.trimmed.fastq.gz	27.5	early	SHSU
54782_S1757_L003_R1_001.trimmed.fastq.gz	392.2	advanced	UTK
54780_S1741_L003_R1_001.trimmed.fastq.gz	341.7	advanced	UTK
54762_S1742_L003_R1_001.trimmed.fastq.gz	366.3	advanced	UTK
54756_S1783_L003_R1_001.trimmed.fastq.gz	319.6	advanced	UTK
54746_S1773_L003_R1_001.trimmed.fastq.gz	298.6	advanced	UTK
54744_S1767_L003_R1_001.trimmed.fastq.gz	258.6	advanced	UTK
54726_S1778_L003_R1_001.trimmed.fastq.gz	278.9	advanced	UTK
54724_S1775_L003_R1_001.trimmed.fastq.gz	236.6	advanced	UTK
54710_S1732_L003_R1_001.trimmed.fastq.gz	215.2	advanced	UTK
54700_S1737_L003_R1_001.trimmed.fastq.gz	170.3	active	UTK
54690_S1758_L003_R1_001.trimmed.fastq.gz	193.3	active	UTK
54688_S1725_L003_R1_001.trimmed.fastq.gz	148.5	active	UTK
54672_S1763_L003_R1_001.trimmed.fastq.gz	84.2	active	UTK
54654_S1756_L003_R1_001.trimmed.fastq.gz	105.8	active	UTK
54638_S1762_L003_R1_001.trimmed.fastq.gz	41.5	early	UTK
54636_S1748_L003_R1_001.trimmed.fastq.gz	0	day0	UTK
54618_S1750_L003_R1_001.trimmed.fastq.gz	18.3	early	UTK
54592_S1712_L003_R1_001.trimmed.fastq.gz	366.3	advanced	UTK
54582_S1764_L003_R1_001.trimmed.fastq.gz	392.2	advanced	UTK
54580_S1766_L003_R1_001.trimmed.fastq.gz	341.7	advanced	UTK
54566_S1787_L003_R1_001.trimmed.fastq.gz	319.6	advanced	UTK
54564_S1739_L003_R1_001.trimmed.fastq.gz	278.9	advanced	UTK
54546_S1792_L003_R1_001.trimmed.fastq.gz	298.6	advanced	UTK
54544_S1740_L003_R1_001.trimmed.fastq.gz	258.6	advanced	UTK
54528_S1905_L003_R1_001.trimmed.fastq.gz	0	early	CMU
54509_S2061_L003_R1_001.trimmed.fastq.gz	0	early	CMU
45959_S2286_L003_R1_001.trimmed.fastq.gz	397.75	advanced	CMU
45956_S1458_L003_R1_001.trimmed.fastq.gz	343.3	advanced	CMU
45937_S2244_L003_R1_001.trimmed.fastq.gz	317.75	advanced	CMU
45903_S2034_L003_R1_001.trimmed.fastq.gz	269.7	advanced	CMU
45887_S2093_L003_R1_001.trimmed.fastq.gz	196.65	active	CMU
45851_S2226_L003_R1_001.trimmed.fastq.gz	86.6	active	CMU
45849_S2108_L003_R1_001.trimmed.fastq.gz	28.3	early	CMU
45831_S2251_L003_R1_001.trimmed.fastq.gz	57.45	active	CMU
45829_S2262_L003_R1_001.trimmed.fastq.gz	0	day0	CMU
45795_S2178_L003_R1_001.trimmed.fastq.gz	141.75	active	CMU
45793_S2053_L003_R1_001.trimmed.fastq.gz	125.05	active	CMU
45779_S2031_L003_R1_001.trimmed.fastq.gz	107.85	active	CMU
45777_S2209_L003_R1_001.trimmed.fastq.gz	80.35	active	CMU
45759_S2033_L003_R1_001.trimmed.fastq.gz	93.95	active	CMU
45757_S2224_L003_R1_001.trimmed.fastq.gz	68.95	active	CMU
45741_S2109_L003_R1_001.trimmed.fastq.gz	58.65	active	CMU
45721_S2160_L003_R1_001.trimmed.fastq.gz	28.65	early	CMU
