sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.UTK.K016.12.2017.06.04.day11,summer,UTK.K016.12,215.2,advanced,UTK,215
soil.hip.UTK.K016.12.2017.06.02.day9,summer,UTK.K016.12,170.3,active,UTK,170
soil.hip.UTK.K016.12.2017.06.03.day10,summer,UTK.K016.12,193.3,active,UTK,193
soil.hip.UTK.K016.12.2017.06.01.day8,summer,UTK.K016.12,148.5,active,UTK,149
soil.hip.UTK.K016.12.2017.05.29.day5,summer,UTK.K016.12,84.2,active,UTK,84
soil.hip.UTK.K016.12.2017.05.30.day6,summer,UTK.K016.12,105.8,active,UTK,106
soil.hip.UTK.K016.12.2017.05.27.day3,summer,UTK.K016.12,41.5,early,UTK,42
soil.hip.UTK.K016.12.2017.05.25.day1,summer,UTK.K016.12,0,day0,UTK,0
soil.hip.UTK.K016.12.2017.05.26.day2,summer,UTK.K016.12,18.3,early,UTK,18
soil.hip.UTK.K016.11.2017.06.11.day18,summer,UTK.K016.11,366.3,advanced,UTK,366
soil.hip.UTK.K016.11.2017.06.12.day19,summer,UTK.K016.11,392.2,advanced,UTK,392
soil.hip.UTK.K016.11.2017.06.10.day17,summer,UTK.K016.11,341.7,advanced,UTK,342
soil.hip.UTK.K016.11.2017.06.09.day16,summer,UTK.K016.11,319.6,advanced,UTK,320
soil.hip.UTK.K016.11.2017.06.07.day14,summer,UTK.K016.11,278.9,advanced,UTK,279
soil.hip.UTK.K016.11.2017.06.08.day15,summer,UTK.K016.11,298.6,advanced,UTK,299
soil.hip.UTK.K016.11.2017.06.06.day13,summer,UTK.K016.11,258.6,advanced,UTK,259
soil.hip.CMU.16.14.2016.12.day.day4,fall,16-14,0,early,CMU,0
soil.hip.CMU.16.14.2016.12.day.day3,fall,16-14,0,early,CMU,0
soil.hip.CMU.16.09.2016.08.10.day16,summer,Mrs. 16-09,397.75,advanced,CMU,398
soil.hip.CMU.16.09.2016.08.08.day14,summer,Mrs. 16-09,343.3,advanced,CMU,343
soil.hip.CMU.16.09.2016.08.07.day13,summer,Mrs. 16-09,317.75,advanced,CMU,318
soil.hip.CMU.16.09.2016.08.05.day11,summer,Mrs. 16-09,269.7,advanced,CMU,270
soil.hip.CMU.16.09.2016.08.02.day8,summer,Mrs. 16-09,196.65,active,CMU,197
soil.hip.CMU.16.09.2016.07.29.day4,summer,Mrs. 16-09,86.6,active,CMU,87
soil.hip.CMU.16.09.2016.07.27.day2,summer,Mrs. 16-09,28.3,early,CMU,28
soil.hip.CMU.16.09.2016.07.28.day3,summer,Mrs. 16-09,57.45,active,CMU,57
soil.hip.CMU.16.09.2016.07.26.day1,summer,Mrs. 16-09,0,day0,CMU,0
soil.hip.CMU.17.12.2017.10.22.day13,fall,17-12,141.75,active,CMU,142
soil.hip.CMU.17.12.2017.10.20.day11,fall,17-12,125.05,active,CMU,125
soil.hip.CMU.17.12.2017.10.19.day10,fall,17-12,107.85,active,CMU,108
soil.hip.CMU.17.12.2017.10.17.day8,fall,17-12,80.35,active,CMU,80
soil.hip.CMU.17.12.2017.10.18.day9,fall,17-12,93.95,active,CMU,94
soil.hip.CMU.17.12.2017.10.16.day7,fall,17-12,68.95,active,CMU,69
soil.hip.CMU.17.12.2017.10.15.day6,fall,17-12,58.65,active,CMU,59
soil.hip.CMU.17.12.2017.10.12.day3,fall,17-12,28.65,early,CMU,29
soil.hip.CMU.17.12.2017.10.11.day2,fall,17-12,12.8,early,CMU,13
soil.hip.CMU.16.10.2016.08.26.day21,summer,Mrs. 16-10,483.95,advanced,CMU,484
soil.hip.CMU.17.12.2017.10.10.day1,fall,17-12,0,day0,CMU,0
soil.hip.CMU.16.10.2016.08.24.day19,summer,Mrs. 16-10,443.9,advanced,CMU,444
soil.hip.CMU.16.10.2016.08.22.day17,summer,Mrs. 16-10,400,advanced,CMU,400
