SampleID,Carbohydrates,Lipids,AminoAcids,facility,State,Conv_time,host_subject_ID,ADD
25599_S2229_L003,0.088360129,0.150566835,0.135996992,FIRS,active,136.6666667,CMU_Mrs._16_05,136.6666667
25617_S2259_L003,0.111101259,0.113291704,0.196199405,FIRS,active,123.3333333,CMU_Mrs._16_05,123.3333333
25619_S2124_L003,0.165240179,0.130288546,0.228570218,FIRS,active,150,CMU_Mrs._16_05,150
25633_S2187_L003,0.144607887,0.121287981,0.260108576,FIRS,active,164.7222222,CMU_Mrs._16_05,164.7222222
25653_S2110_L003,0.127551383,0.123808367,0.194624593,FIRS,active,179.7222222,CMU_Mrs._16_05,179.7222222
25655_S2125_L003,0.209584074,0.214961631,0.267172451,FIRS,advanced,200.8333333,CMU_Mrs._16_05,200.8333333
25669_S2120_L003,0.203920304,0.141836284,0.328879002,FIRS,advanced,207.5,CMU_Mrs._16_05,207.5
25688_S1294_L003,0.210307286,0.165045999,0.365379497,FIRS,advanced,214.1666667,CMU_Mrs._16_05,214.1666667
25706_S1262_L003,0.211399573,0.165674292,0.199764429,FIRS,early,7.5,CMU_Mrs._16_05,7.5
25724_S1268_L003,0.160938049,0.102481925,0.203445618,FIRS,day0,0,CMU_Mrs._16_05,0
25727_S2076_L003,0.275447916,0.138184243,0.213500131,FIRS,early,11.38888889,CMU_Mrs._16_05,11.38888889
25741_S2063_L003,0.290531415,0.233626555,0.228438822,FIRS,early,15.83333333,CMU_Mrs._16_05,15.83333333
25779_S2096_L003,0.271773829,0.206769608,0.21193947,FIRS,active,79.72222223,CMU_Mrs._16_05,79.72222223
25797_S2119_L003,0.213933287,0.136369835,0.30212871,FIRS,active,69.44444445,CMU_Mrs._16_05,69.44444445
45075_S1891_L003,0.183595451,0.109999214,0.268267583,FIRS,early,1.4,16-14,1.4
45110_S1707_L003,0.119139424,0.076473111,0.168445515,FIRS,active,190.95,17-12,190.95
45129_S2271_L003,0.133850203,0.097837244,0.130768988,FIRS,active,179,17-12,179
45131_S2199_L003,0.180724638,0.110171986,0.159707979,FIRS,advanced,200.4,17-12,200.4
45147_S2288_L003,0.148953742,0.08805519,0.139308468,FIRS,advanced,232.9,17-12,232.9
45469_S2277_L003,0.164418504,0.11875717,0.135859585,FIRS,advanced,422.75,Mrs. 16-09,422.75
45504_S1450_L003,0.145939738,0.116927622,0.156530663,FIRS,advanced,521.95,Mrs. 16-09,521.95
45507_S2219_L003,0.147973908,0.09971003,0.113998983,FIRS,early,24.45,Mrs. 16-10,24.45
45541_S2088_L003,0.186935942,0.092836988,0.134838706,FIRS,active,78.05,Mrs. 16-10,78.05
45560_S1511_L003,0.141907125,0.073858004,0.103714413,FIRS,active,104.45,Mrs. 16-10,104.45
45562_S1579_L003,0.218103934,0.154731126,0.281079638,FIRS,active,153.05,Mrs. 16-10,153.05
45632_S1567_L003,0.166337402,0.119220026,0.16723067,FIRS,advanced,303.9,Mrs. 16-10,303.9
45648_S1582_L003,0.105746846,0.11288346,0.202383946,FIRS,advanced,376.1,Mrs. 16-10,376.1
45651_S2067_L003,0.111682163,0.137105005,0.235526152,FIRS,advanced,421.7,Mrs. 16-10,421.7
45668_S1524_L003,0.162648063,0.10794051,0.159473497,FIRS,advanced,400,Mrs. 16-10,400
45670_S1520_L003,0.176681309,0.095671312,0.131189479,FIRS,advanced,443.9,Mrs. 16-10,443.9
45687_S2101_L003,0.174384673,0.084030596,0.17262665,FIRS,day0,0,17-12,0
45704_S1583_L003,0.168974641,0.107208589,0.134670275,FIRS,advanced,483.95,Mrs. 16-10,483.95
45707_S2218_L003,0.20172866,0.105956554,0.169007023,FIRS,early,12.8,17-12,12.8
45721_S2160_L003,0.186312958,0.084579084,0.160285631,FIRS,early,28.65,17-12,28.65
45757_S2224_L003,0.11393607,0.111139025,0.1384806,FIRS,active,68.95,17-12,68.95
45759_S2033_L003,0.256460825,0.090601749,0.160835446,FIRS,active,93.95,17-12,93.95
45777_S2209_L003,0.120469222,0.110311391,0.125642984,FIRS,active,80.35,17-12,80.35
45779_S2031_L003,0.208533942,0.117960655,0.164445505,FIRS,active,107.85,17-12,107.85
45793_S2053_L003,0.154076813,0.075883134,0.144462809,FIRS,active,125.05,17-12,125.05
45795_S2178_L003,0.133331166,0.082789661,0.158246553,FIRS,active,141.75,17-12,141.75
45829_S2262_L003,0.145707622,0.108307798,0.126879217,FIRS,day0,0,Mrs. 16-09,0
45831_S2251_L003,0.138050712,0.115530041,0.114868493,FIRS,active,57.45,Mrs. 16-09,57.45
45849_S2108_L003,0.209090695,0.138419814,0.201841711,FIRS,early,28.3,Mrs. 16-09,28.3
45851_S2226_L003,0.111057341,0.119051406,0.162395714,FIRS,active,86.6,Mrs. 16-09,86.6
45887_S2093_L003,0.172787436,0.126898189,0.2009973,FIRS,active,196.65,Mrs. 16-09,196.65
45903_S2034_L003,0.135418786,0.124393167,0.14112719,FIRS,advanced,269.7,Mrs. 16-09,269.7
45937_S2244_L003,0.198979597,0.242323603,0.140066417,FIRS,advanced,317.75,Mrs. 16-09,317.75
45956_S1458_L003,0.183444476,0.158099659,0.169067967,FIRS,advanced,343.3,Mrs. 16-09,343.3
45959_S2286_L003,0.157446227,0.115730452,0.135634508,FIRS,advanced,397.75,Mrs. 16-09,397.75
54509_S2061_L003,0.274543154,0.074857294,0.12651405,FIRS,early,0,16-14,0
54528_S1905_L003,0.228997746,0.151579937,0.211217654,FIRS,early,0,16-14,0
55391_S2092_L006,0.257304453,0.105434584,0.208082617,FIRS,early,11.1,16-12,11.1
55427_S2122_L003,0.098324831,0.125133073,0.236788298,FIRS,early,25.8,16-12,25.8
55441_S2116_L003,0.156856011,0.135496482,0.254230122,FIRS,early,26.1,16-12,26.1
55461_S2026_L003,0.107187525,0.110388943,0.210410922,FIRS,early,26.1,16-12,26.1
55462_S1886_L003,0.08278518,0.126340612,0.14752132,FIRS,early,26.1,16-12,26.1
55479_S2297_L003,0.071774187,0.109351688,0.137965019,FIRS,early,26.1,16-12,26.1
55515_S2105_L006,0.069525658,0.110871052,0.112491522,FIRS,early,27.5,16-12,27.5
55551_S2016_L003,0.247481182,0.110710756,0.217169621,FIRS,day0,0,16-14,0
55569_S2264_L003,0.194990779,0.132999917,0.338849682,FIRS,early,31.1,16-12,31.1
55590_S1890_L003,0.146199253,0.15469633,0.123723515,FIRS,early,1.4,16-14,1.4
55593_S1952_L003,0.121655495,0.124657252,0.401358417,FIRS,early,1.4,16-14,1.4
60371_S2038_L003,0.090144619,0.08833799,0.113192415,FIRS,early,5.8,Mr. 16-15,5.8
60387_S2032_L003,0.196254963,0.151325909,0.203085551,FIRS,early,12.45,Mr. 16-15,12.45
60431_S2069_L003,0.186918181,0.10462204,0.17724804,FIRS,early,6.95,16-14,6.95
60445_S2068_L003,0.271503203,0.21421286,0.162071869,FIRS,early,6.95,16-14,6.95
60483_S2287_L003,0.196938291,0.17264602,0.120156125,FIRS,early,19.4,16-14,19.4
60501_S2191_L003,0.32138487,0.340437237,0.145882145,FIRS,early,19.4,16-14,19.4
60502_S1723_L003,0.206289204,0.119027406,0.224624559,FIRS,day0,0,17-10,0
60516_S1722_L003,0.172510883,0.134673551,0.22624812,FIRS,early,25.55,17-10,25.55
60519_S2087_L003,0.229988081,0.124197724,0.220160038,FIRS,active,72,17-10,72
60536_S1731_L003,0.189410843,0.127258673,0.241154723,FIRS,early,49.75,17-10,49.75
60552_S1729_L003,0.232859305,0.1672165,0.252246897,FIRS,active,122.55,17-10,122.55
60554_S1727_L003,0.193735145,0.183260292,0.557388997,FIRS,active,169.5,17-10,169.5
60574_S1713_L003,0.392615029,0.429473361,0.131131239,FIRS,active,193.95,17-10,193.95
60588_S1717_L003,0.21287972,0.152031469,0.216965682,FIRS,advanced,219.2,17-10,219.2
60590_S1714_L003,0.24858203,0.147634178,0.219165998,FIRS,advanced,270.85,17-10,270.85
60608_S1735_L003,0.240963053,0.140898325,0.234080353,FIRS,advanced,244.45,17-10,244.45
60624_S1716_L003,0.201901653,0.14199028,0.209328548,FIRS,advanced,322.8,17-10,322.8
60626_S1736_L003,0.281752835,0.149927862,0.258498147,FIRS,advanced,373.85,17-10,373.85
60644_S1715_L003,0.220540825,0.130444761,0.212562148,FIRS,advanced,348.05,17-10,348.05
60646_S1719_L003,0.140553357,0.117447613,0.174165998,FIRS,advanced,398.55,17-10,398.55
60660_S1720_L003,0.206623563,0.145208736,0.187342663,FIRS,advanced,424.7,17-10,424.7
60662_S1734_L003,0.220508677,0.191134341,0.249345605,FIRS,advanced,477.8,17-10,477.8
60680_S1730_L003,0.119660463,0.081169862,0.190820695,FIRS,advanced,451.65,17-10,451.65
