SampleID,true_add,predicted_add,body_id
soil.hip.CMU.16.04.2016.mo.day15,102.78,195.78,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day16,111.39,161.8,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day17,122.78,203.19,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day18,136.94,149.04,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day19,149.72,282.18,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day20,160,282.18,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day21,173.61,303.69,CMU_Mr._16_04
,,,
soil.hip.CMU.16.03.2016.3.day1,0,32.8,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day2,13.06,34.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day3,25.83,34.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day4,35.83,70.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day5,47.22,70.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day6,52.5,70.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day7,57.22,70.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day8,66.11,70.7,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day9,73.06,96.11,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day10,80.83,96.11,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day11,89.72,129.45,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day12,102.78,96.11,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day13,113.06,129.45,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day14,117.78,129.45,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day15,123.89,148.5,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day16,130.83,148.5,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day17,135.28,148.5,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day18,141.11,129.45,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day19,153.33,193.63,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day20,160.83,148.5,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day21,164.72,148.5,CMU_Mrs._16_03
,,,
soil.hip.CMU.16.05.2016.mo.day1,0,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day2,7.5,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day3,11.39,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day4,15.83,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day5,22.5,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day6,31.11,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day7,42.5,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day8,56.67,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day9,69.44,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day10,79.72,66.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day11,93.33,96.11,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day12,110.28,148.5,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day13,123.33,127.93,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day14,136.67,148.5,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day15,150,148.5,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day16,164.72,148.5,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day17,179.72,193.3,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day18,194.72,236.2,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day19,200.83,236.2,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day20,207.5,274.3,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day21,214.17,236.2,CMU_Mrs._16_05
,,,
soil.hip.UTK.K016.07.2017.Jan.06.day1,0,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.08.day2,0,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.09.day3,0,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.10.day4,3.9,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.11.day5,15.8,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.12.day6,32.8,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.13.day7,49.3,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.14.day8,64.5,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.15.day9,80.4,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.16.day10,94.1,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.17.day11,109.7,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.18.day12,124.1,32.8,K016.07
soil.hip.UTK.K016.07.2017.Jan.19.day13,133.9,28.9,K016.07
soil.hip.UTK.K016.07.2017.Jan.20.day14,148.3,28.9,K016.07
soil.hip.UTK.K016.07.2017.Jan.21.day15,161,28.9,K016.07
soil.hip.UTK.K016.07.2017.Jan.22.day16,174.6,28.9,K016.07
soil.hip.UTK.K016.07.2017.Jan.23.day17,186.2,28.9,K016.07
soil.hip.UTK.K016.07.2017.Jan.24.day18,194.1,62.5,K016.07
soil.hip.UTK.K016.07.2017.Jan.25.day19,202.2,62.5,K016.07
soil.hip.UTK.K016.07.2017.Jan.26.day20,212.9,62.5,K016.07
soil.hip.UTK.K016.07.2017.Jan.27.day21,215.9,62.5,K016.07
,,,
soil.hip.UTK.K016.08.2017.Jan.06.day1,0,30.55,K016.08
soil.hip.UTK.K016.08.2017.Jan.08.day2,0,30.55,K016.08
soil.hip.UTK.K016.08.2017.Jan.09.day3,0,30.55,K016.08
