id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.hip.UTK.K016.05.2016.10.06.day11	Decomposition Soil	UTK.K016.05	274	877.9499992	-380.1409974	194.1
soil.hip.UTK.K016.05.2016.10.07.day12	Decomposition Soil	UTK.K016.05	384	842.903424	-235.0944222	214.5
soil.hip.UTK.K016.05.2016.10.08.day13	Decomposition Soil	UTK.K016.05	379	805.6234886	-202.8144868	236.2
soil.hip.UTK.K016.05.2016.10.09.day14	Decomposition Soil	UTK.K016.05	351	776.5898061	-201.7808044	253.1
soil.hip.UTK.K016.05.2016.10.10.day15	Decomposition Soil	UTK.K016.05	373	748.0715145	-151.2625128	269.7
soil.hip.UTK.K016.05.2016.10.11.day16	Decomposition Soil	UTK.K016.05	472	719.8968168	-24.08781502	286.1
soil.hip.UTK.K016.05.2016.10.12.day17	Decomposition Soil	UTK.K016.05	380	691.2067283	-87.39772648	302.8
soil.hip.UTK.K016.05.2016.10.13.day18	Decomposition Soil	UTK.K016.05	333	661.4858581	-104.6768563	320.1
soil.hip.UTK.K016.05.2016.10.14.day19	Decomposition Soil	UTK.K016.05	314	626.9546737	-89.1456719	340.2
soil.hip.UTK.K016.05.2016.10.15.day20	Decomposition Soil	UTK.K016.05	225	590.7055199	-141.8965181	361.3
soil.hip.UTK.K016.05.2016.10.16.day21	Decomposition Soil	UTK.K016.05	390	553.4255845	60.38341729	383
soil.hip.UTK.K016.06.2016.10.05.day1	Decomposition Soil	UTK.K016.06	811	1211.407855	-88.19151768	0
soil.hip.UTK.K016.06.2016.10.06.day2	Decomposition Soil	UTK.K016.06	903	1176.361279	38.85505754	20.4
soil.hip.UTK.K016.06.2016.10.07.day3	Decomposition Soil	UTK.K016.06	1006	1141.314704	176.9016328	40.8
soil.hip.UTK.K016.06.2016.10.08.day4	Decomposition Soil	UTK.K016.06	904	1104.034769	112.1815682	62.5
soil.hip.UTK.K016.06.2016.10.09.day5	Decomposition Soil	UTK.K016.06	1044	1075.001086	281.2152506	79.4
soil.hip.UTK.K016.06.2016.10.10.day6	Decomposition Soil	UTK.K016.06	1050	1046.482795	315.7335422	96
soil.hip.UTK.K016.06.2016.10.11.day7	Decomposition Soil	UTK.K016.06	280	1018.308097	-426.0917601	112.4
soil.hip.UTK.K016.06.2016.10.12.day8	Decomposition Soil	UTK.K016.06	330	989.6180085	-347.4016715	129.1
