community	medium	size	mip	mro	stage	Facility
Loop18	complete	20	29	0.626203807	advanced	STAFS
Loop19	complete	20	30	0.65735768	advanced	STAFS
Loop2	complete	20	34	0.643584521	advanced	STAFS
Loop20	complete	20	30	0.634205055	advanced	STAFS
Loop21	complete	20	28	0.666977177	advanced	STAFS
Loop22	complete	20	28	0.64283481	advanced	STAFS
Loop23	complete	20	28	0.645542427	advanced	STAFS
Loop24	complete	20	28	0.659993542	advanced	STAFS
Loop25	complete	20	34	0.64020345	advanced	STAFS
Loop26	complete	20	28	0.62107407	advanced	STAFS
Loop27	complete	20	29	0.642743222	advanced	STAFS
Loop28	complete	20	28	0.652631579	advanced	STAFS
Loop29	complete	20	29	0.645175439	advanced	STAFS
Loop3	complete	20	29	0.668528464	advanced	STAFS
Loop30	complete	20	28	0.6421919	advanced	STAFS
Loop31	complete	20	27	0.631578947	advanced	STAFS
Loop32	complete	20	26	0.621989757	advanced	STAFS
Loop33	complete	20	29	0.666208004	advanced	STAFS
Loop34	complete	20	28	0.646714826	advanced	STAFS
Loop35	complete	20	31	0.635827236	advanced	STAFS
Loop36	complete	20	30	0.638377193	advanced	STAFS
Loop37	complete	20	26	0.648164529	advanced	STAFS
Loop38	complete	20	28	0.609142378	advanced	STAFS
Loop39	complete	20	28	0.624013833	advanced	STAFS
Loop4	complete	20	28	0.66400274	advanced	STAFS
Loop40	complete	20	24	0.631354026	advanced	STAFS
Loop41	complete	20	34	0.637937125	advanced	STAFS
Loop42	complete	20	29	0.647323437	advanced	STAFS
Loop43	complete	20	27	0.656979873	advanced	STAFS
Loop44	complete	20	27	0.644963702	advanced	STAFS
Loop45	complete	20	27	0.658440708	advanced	STAFS
Loop46	complete	20	26	0.656074148	advanced	STAFS
Loop47	complete	20	31	0.658294326	advanced	STAFS
Loop48	complete	20	28	0.665325735	advanced	STAFS
Loop49	complete	20	30	0.628862479	advanced	STAFS
Loop5	complete	20	30	0.667202942	advanced	STAFS
Loop50	complete	20	31	0.656161361	advanced	STAFS
Loop51	complete	20	29	0.626096491	advanced	STAFS
Loop52	complete	20	29	0.654150406	advanced	STAFS
Loop53	complete	20	26	0.65630813	advanced	STAFS
Loop54	complete	20	27	0.648113647	advanced	STAFS
Loop55	complete	20	26	0.637704174	advanced	STAFS
Loop56	complete	20	32	0.639081505	advanced	STAFS
Loop57	complete	20	26	0.643879361	advanced	STAFS
Loop58	complete	20	28	0.632484437	advanced	STAFS
Loop59	complete	20	28	0.638700345	advanced	STAFS
Loop6	complete	20	28	0.626973684	advanced	STAFS
Loop60	complete	20	34	0.625907441	advanced	STAFS
Loop61	complete	20	27	0.655888086	advanced	STAFS
Loop62	complete	20	27	0.650221666	advanced	STAFS
Loop63	complete	20	28	0.646648673	advanced	STAFS
Loop64	complete	20	25	0.649235993	advanced	STAFS
Loop65	complete	20	29	0.659969426	advanced	STAFS
Loop66	complete	20	29	0.651015506	advanced	STAFS
Loop67	complete	20	29	0.666594171	advanced	STAFS
Loop68	complete	20	26	0.654332337	advanced	STAFS
Loop69	complete	20	26	0.653056885	advanced	STAFS
Loop7	complete	20	31	0.643923241	advanced	STAFS
Loop70	complete	20	26	0.646235843	advanced	STAFS
Loop71	complete	20	28	0.63514719	advanced	STAFS
Loop72	complete	20	29	n/a	advanced	STAFS
Loop73	complete	20	27	0.664160401	advanced	STAFS
Loop74	complete	20	29	0.663837012	advanced	STAFS
Loop75	complete	20	30	0.634967701	advanced	STAFS
Loop76	complete	20	27	0.663090848	advanced	STAFS
Loop77	complete	20	27	0.646483465	advanced	STAFS
Loop78	complete	20	31	0.640768588	advanced	STAFS
Loop79	complete	20	28	0.661395979	advanced	STAFS
Loop8	complete	20	26	0.647026371	advanced	STAFS
Loop80	complete	20	26	0.645452543	advanced	STAFS
Loop81	complete	20	28	0.661493477	advanced	STAFS
Loop82	complete	20	31	0.6268757	advanced	STAFS
Loop83	complete	20	31	0.636808003	advanced	STAFS
Loop84	complete	20	27	0.619806094	advanced	STAFS
Loop85	complete	20	25	0.655853921	advanced	STAFS
Loop86	complete	20	25	0.652898068	advanced	STAFS
Loop87	complete	20	28	0.637262703	advanced	STAFS
Loop88	complete	20	30	0.666388744	advanced	STAFS
Loop89	complete	20	28	0.65615485	advanced	STAFS
Loop9	complete	20	30	0.630482456	advanced	STAFS
Loop90	complete	20	26	0.663134861	advanced	STAFS
Loop91	complete	20	30	0.646773838	advanced	STAFS
Loop92	complete	20	31	0.63353632	advanced	STAFS
Loop93	complete	20	28	0.634599744	advanced	STAFS
