SampleID	season	sample_site	add_0c	facility	decomp_stage	sample_type
soil.ctrl.UTK.K016.10.2017.05.26.day2	summer	not_applicable	18.3	UTK	early	soil_control
soil.ctrl.UTK.K016.10.2017.05.27.day3	summer	not_applicable	41.5	UTK	early	soil_control
soil.ctrl.UTK.K016.10.2017.05.28.day4	summer	not_applicable	62.3	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.05.29.day5	summer	not_applicable	84.2	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.05.30.day6	summer	not_applicable	105.8	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.05.31.day7	summer	not_applicable	126.4	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.06.01.day8	summer	not_applicable	148.5	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.06.02.day9	summer	not_applicable	170.3	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.06.03.day10	summer	not_applicable	193.3	UTK	active	soil_control
soil.ctrl.UTK.K016.10.2017.06.04.day11	summer	not_applicable	215.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.05.day12	summer	not_applicable	236.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.06.day13	summer	not_applicable	258.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.07.day14	summer	not_applicable	278.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.08.day15	summer	not_applicable	298.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.09.day16	summer	not_applicable	319.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.10.day17	summer	not_applicable	341.7	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.11.day18	summer	not_applicable	366.3	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.12.day19	summer	not_applicable	392.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.13.day20	summer	not_applicable	417.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.10.2017.06.14.day21	summer	not_applicable	441.3	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.05.25.day1	summer	not_applicable	0	UTK	early	soil_control
soil.ctrl.UTK.K016.11.2017.05.26.day2	summer	not_applicable	18.3	UTK	early	soil_control
soil.ctrl.UTK.K016.11.2017.05.27.day3	summer	not_applicable	41.5	UTK	early	soil_control
soil.ctrl.UTK.K016.11.2017.05.28.day4	summer	not_applicable	62.3	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.05.29.day5	summer	not_applicable	84.2	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.05.30.day6	summer	not_applicable	105.8	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.05.31.day7	summer	not_applicable	126.4	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.06.01.day8	summer	not_applicable	148.5	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.06.02.day9	summer	not_applicable	170.3	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.06.03.day10	summer	not_applicable	193.3	UTK	active	soil_control
soil.ctrl.UTK.K016.11.2017.06.04.day11	summer	not_applicable	215.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.05.day12	summer	not_applicable	236.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.06.day13	summer	not_applicable	258.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.07.day14	summer	not_applicable	278.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.08.day15	summer	not_applicable	298.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.09.day16	summer	not_applicable	319.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.10.day17	summer	not_applicable	341.7	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.11.day18	summer	not_applicable	366.3	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.12.day19	summer	not_applicable	392.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.13.day20	summer	not_applicable	417.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.11.2017.06.14.day21	summer	not_applicable	441.3	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.05.25.day1	summer	not_applicable	0	UTK	early	soil_control
soil.ctrl.UTK.K016.12.2017.05.26.day2	summer	not_applicable	18.3	UTK	early	soil_control
soil.ctrl.UTK.K016.12.2017.05.27.day3	summer	not_applicable	41.5	UTK	early	soil_control
soil.ctrl.UTK.K016.12.2017.05.28.day4	summer	not_applicable	62.3	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.05.29.day5	summer	not_applicable	84.2	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.05.30.day6	summer	not_applicable	105.8	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.05.31.day7	summer	not_applicable	126.4	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.06.01.day8	summer	not_applicable	148.5	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.06.02.day9	summer	not_applicable	170.3	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.06.03.day10	summer	not_applicable	193.3	UTK	active	soil_control
soil.ctrl.UTK.K016.12.2017.06.04.day11	summer	not_applicable	215.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.05.day12	summer	not_applicable	236.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.06.day13	summer	not_applicable	258.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.07.day14	summer	not_applicable	278.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.08.day15	summer	not_applicable	298.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.09.day16	summer	not_applicable	319.6	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.10.day17	summer	not_applicable	341.7	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.11.day18	summer	not_applicable	366.3	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.12.day19	summer	not_applicable	392.2	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.13.day20	summer	not_applicable	417.9	UTK	advanced	soil_control
soil.ctrl.UTK.K016.12.2017.06.14.day21	summer	not_applicable	441.3	UTK	advanced	soil_control
soil.ctrlCMU.16.15.2016.12.day1	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day10	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day11	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day12	winter	not_applicable	12.7	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day13	winter	not_applicable	17.15	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day14	winter	not_applicable	18.8	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day15	winter	not_applicable	18.8	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day16	winter	not_applicable	18.8	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day17	winter	not_applicable	18.8	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day18	winter	not_applicable	19.35	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day19	winter	not_applicable	19.35	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day2	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day20	winter	not_applicable	19.35	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day3	winter	not_applicable	1.1	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day4	winter	not_applicable	5.8	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day5	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day6	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day7	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day8	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2016.12.day9	winter	not_applicable	12.45	CMU	early	soil_control
soil.ctrlCMU.16.15.2017.01.day21	winter	not_applicable	19.35	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day1	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day10	winter	not_applicable	12.25	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day11	winter	not_applicable	16.4	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day12	winter	not_applicable	20.3	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day13	winter	not_applicable	22.8	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day14	winter	not_applicable	24.75	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day15	winter	not_applicable	26.7	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day16	winter	not_applicable	26.7	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day18	winter	not_applicable	28.65	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day19	winter	not_applicable	28.95	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day2	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day20	winter	not_applicable	33.4	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day21	winter	not_applicable	33.65	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day22	winter	not_applicable	33.65	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day3	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day4	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day5	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day6	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day7	winter	not_applicable	0.85	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day8	winter	not_applicable	6.15	CMU	early	soil_control
soil.ctrlCMU.17.01.2017.01.day9	winter	not_applicable	8.65	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day1	winter	not_applicable	0	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day10	winter	not_applicable	127.45	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day11	winter	not_applicable	144.95	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day12	winter	not_applicable	162.45	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day13	winter	not_applicable	180.25	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day14	winter	not_applicable	191.65	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day15	winter	not_applicable	202.45	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day16	winter	not_applicable	213.25	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day17	winter	not_applicable	224.05	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day18	winter	not_applicable	235.2	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day19	winter	not_applicable	243.55	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day2	winter	not_applicable	12.5	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day20	winter	not_applicable	254.4	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day21	winter	not_applicable	267.15	CMU	advanced	soil_control
soil.ctrlCMU.17.04.2017.03.day3	winter	not_applicable	24.15	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day4	winter	not_applicable	34.15	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day5	winter	not_applicable	46.95	CMU	early	soil_control
soil.ctrlCMU.17.04.2017.03.day6	winter	not_applicable	61.65	CMU	active	soil_control
